2026-04-02 21:37:54,365 [INFO] 다운로드 완료: 파일=up50_6h_2026040100.gif, 크기=147039
2026-04-02 21:37:54,366 [INFO] 다운로드 요청: 파일=up50_6h_2026040106.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up50_anlmod_pa4_2026040106.gif
2026-04-02 21:37:54,450 [INFO] 다운로드 완료: 파일=up50_6h_2026040106.gif, 크기=114779
2026-04-02 21:37:54,451 [INFO] 다운로드 요청: 파일=up50_6h_2026040112.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up50_anlmod_pa4_2026040112.gif
2026-04-02 21:37:54,513 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up50_anlmod_pa4_2026040112.gif
2026-04-02 21:37:54,514 [INFO] 다운로드 요청: 파일=up50_6h_2026040118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up50_anlmod_pa4_2026040118.gif
2026-04-02 21:37:54,570 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up50_anlmod_pa4_2026040118.gif
2026-04-02 21:37:54,571 [INFO] 다운로드 요청: 파일=up30_6h_2026033118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up30_anlmod_pa4_2026033118.gif
2026-04-02 21:37:54,672 [INFO] 다운로드 완료: 파일=up30_6h_2026033118.gif, 크기=124174
2026-04-02 21:37:54,673 [INFO] 다운로드 요청: 파일=up30_6h_2026040100.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up30_anlmod_pa4_2026040100.gif
2026-04-02 21:37:54,766 [INFO] 다운로드 완료: 파일=up30_6h_2026040100.gif, 크기=154105
2026-04-02 21:37:54,767 [INFO] 다운로드 요청: 파일=up30_6h_2026040106.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up30_anlmod_pa4_2026040106.gif
2026-04-02 21:37:54,845 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up30_anlmod_pa4_2026040106.gif
2026-04-02 21:37:54,846 [INFO] 다운로드 요청: 파일=up30_6h_2026040112.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up30_anlmod_pa4_2026040112.gif
2026-04-02 21:37:54,917 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up30_anlmod_pa4_2026040112.gif
2026-04-02 21:37:54,918 [INFO] 다운로드 요청: 파일=up30_6h_2026040118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up30_anlmod_pa4_2026040118.gif
2026-04-02 21:37:55,005 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up30_anlmod_pa4_2026040118.gif
2026-04-02 21:37:55,006 [INFO] 다운로드 요청: 파일=up20_6h_2026033118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up20_anlmod_pa4_2026033118.gif
2026-04-02 21:37:55,096 [INFO] 다운로드 완료: 파일=up20_6h_2026033118.gif, 크기=124819
2026-04-02 21:37:55,096 [INFO] 다운로드 요청: 파일=up20_6h_2026040100.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up20_anlmod_pa4_2026040100.gif
2026-04-02 21:37:55,173 [INFO] 다운로드 완료: 파일=up20_6h_2026040100.gif, 크기=153344
2026-04-02 21:37:55,173 [INFO] 다운로드 요청: 파일=up20_6h_2026040106.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up20_anlmod_pa4_2026040106.gif
2026-04-02 21:37:55,251 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up20_anlmod_pa4_2026040106.gif
2026-04-02 21:37:55,252 [INFO] 다운로드 요청: 파일=up20_6h_2026040112.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up20_anlmod_pa4_2026040112.gif
2026-04-02 21:37:55,312 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up20_anlmod_pa4_2026040112.gif
2026-04-02 21:37:55,313 [INFO] 다운로드 요청: 파일=up20_6h_2026040118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up20_anlmod_pa4_2026040118.gif
2026-04-02 21:37:55,358 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up20_anlmod_pa4_2026040118.gif
2026-04-02 21:37:55,359 [INFO] 다운로드 요청: 파일=up10_6h_2026033118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up10_anlmod_pa4_2026033118.gif
2026-04-02 21:37:55,435 [INFO] 다운로드 완료: 파일=up10_6h_2026033118.gif, 크기=98482
2026-04-02 21:37:55,436 [INFO] 다운로드 요청: 파일=up10_6h_2026040100.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up10_anlmod_pa4_2026040100.gif
2026-04-02 21:37:55,508 [INFO] 다운로드 완료: 파일=up10_6h_2026040100.gif, 크기=130605
2026-04-02 21:37:55,509 [INFO] 다운로드 요청: 파일=up10_6h_2026040106.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up10_anlmod_pa4_2026040106.gif
2026-04-02 21:37:55,568 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up10_anlmod_pa4_2026040106.gif
2026-04-02 21:37:55,570 [INFO] 다운로드 요청: 파일=up10_6h_2026040112.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up10_anlmod_pa4_2026040112.gif
2026-04-02 21:37:55,629 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up10_anlmod_pa4_2026040112.gif
2026-04-02 21:37:55,630 [INFO] 다운로드 요청: 파일=up10_6h_2026040118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_up10_anlmod_pa4_2026040118.gif
2026-04-02 21:37:55,731 [INFO] 다운로드 완료: 파일=up10_6h_2026040118.gif, 크기=98183
2026-04-02 21:37:55,731 [INFO] 다운로드 요청: 파일=surf_anl_6h_2026033118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_surf_newsur_pa4_2026033118.gif
2026-04-02 21:37:57,575 [INFO] 다운로드 완료: 파일=surf_anl_6h_2026033118.gif, 크기=156161
2026-04-02 21:37:57,575 [INFO] 다운로드 요청: 파일=surf_anl_6h_2026040100.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_surf_newsur_pa4_2026040100.gif
2026-04-02 21:37:57,712 [INFO] 다운로드 완료: 파일=surf_anl_6h_2026040100.gif, 크기=155421
2026-04-02 21:37:57,712 [INFO] 다운로드 요청: 파일=surf_anl_6h_2026040106.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_surf_newsur_pa4_2026040106.gif
2026-04-02 21:37:57,787 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_surf_newsur_pa4_2026040106.gif
2026-04-02 21:37:57,789 [INFO] 다운로드 요청: 파일=surf_anl_6h_2026040112.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_surf_newsur_pa4_2026040112.gif
2026-04-02 21:37:57,873 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_surf_newsur_pa4_2026040112.gif
2026-04-02 21:37:57,874 [INFO] 다운로드 요청: 파일=surf_anl_6h_2026040118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_surf_newsur_pa4_2026040118.gif
2026-04-02 21:37:57,944 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kim_surf_newsur_pa4_2026040118.gif
2026-04-02 21:37:57,945 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026033123.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026033123.gif
2026-04-02 21:37:58,035 [INFO] 다운로드 완료: 파일=kor1_anl_1h_2026033123.gif, 크기=174922
2026-04-02 21:37:58,037 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040100.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040100.gif
2026-04-02 21:37:58,119 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040100.gif
2026-04-02 21:37:58,120 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040101.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040101.gif
2026-04-02 21:37:58,201 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040101.gif
2026-04-02 21:37:58,203 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040102.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040102.gif
2026-04-02 21:37:58,250 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040102.gif
2026-04-02 21:37:58,251 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040103.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040103.gif
2026-04-02 21:37:58,338 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040103.gif
2026-04-02 21:37:58,339 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040104.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040104.gif
2026-04-02 21:37:58,407 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040104.gif
2026-04-02 21:37:58,408 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040105.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040105.gif
2026-04-02 21:37:58,493 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040105.gif
2026-04-02 21:37:58,494 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040106.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040106.gif
2026-04-02 21:37:58,567 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040106.gif
2026-04-02 21:37:58,569 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040107.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040107.gif
2026-04-02 21:37:58,629 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040107.gif
2026-04-02 21:37:58,630 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040108.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040108.gif
2026-04-02 21:37:58,694 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040108.gif
2026-04-02 21:37:58,696 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040109.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040109.gif
2026-04-02 21:37:58,756 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040109.gif
2026-04-02 21:37:58,757 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040110.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040110.gif
2026-04-02 21:37:58,803 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040110.gif
2026-04-02 21:37:58,804 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040111.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040111.gif
2026-04-02 21:37:58,899 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040111.gif
