report_date,window_start,window_end,stnId,obs_count,mean_BF,mean_CA_MID,mean_CA_TOT,mean_CH_MIN,mean_CT_LOW,mean_CT_MID,mean_CT_TOP,mean_GST_TM,mean_GST_WD,mean_GST_WS,mean_HM,mean_IR,mean_IX,mean_PA,mean_PR,mean_PS,mean_PT,mean_PV,mean_RN,mean_RN_DAY,mean_RN_INT,mean_RN_JUN,mean_SD_DAY,mean_SD_HR3,mean_SD_TOT,mean_SI,mean_SS,mean_ST_GD,mean_ST_SEA,mean_TA,mean_TD,mean_TE_005,mean_TE_01,mean_TE_02,mean_TE_03,mean_TS,mean_VS,mean_WC,mean_WD,mean_WH,mean_WP,mean_WS,mean_WW,mean_tm
20260409,20260409 09:00,20260409 21:00,216,2,-9.000,8.500,9.000,20.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,62.000,2.000,-9.000,923.200,-1.550,1004.900,7.000,8.550,-4.300,1.150,-9.000,1.150,-9.000,-9.000,-9.000,-4.280,-4.500,-9.000,-9.000,11.400,3.100,-99.000,-99.000,-99.000,-99.000,9.150,4923.000,-9.000,18.000,-9.000,-9.000,2.250,,202604091500.000
20260409,20260409 09:00,20260409 21:00,217,2,-9.000,5.500,9.500,7.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,68.000,2.000,-9.000,969.750,-1.950,1006.700,7.000,8.200,-4.500,2.150,-9.000,2.150,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,10.100,3.150,9.600,9.400,9.800,10.450,10.500,2163.000,-9.000,18.000,-9.000,-9.000,1.050,,202604091500.000
20260409,20260409 09:00,20260409 21:00,221,2,-9.000,7.500,10.000,16.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,80.500,2.000,-9.000,974.700,-1.500,1006.200,6.500,9.650,-2.500,3.850,-9.000,3.850,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,9.100,5.550,-99.000,-99.000,-99.000,-99.000,9.500,991.000,-9.000,5.500,-9.000,-9.000,1.100,,202604091500.000
20260409,20260409 09:00,20260409 21:00,226,2,-9.000,9.500,9.500,8.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,81.000,2.000,-9.000,985.450,-1.100,1005.900,6.500,10.600,-4.350,4.200,-9.000,4.200,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,10.250,6.900,-99.000,-99.000,-99.000,-99.000,10.600,2760.000,-9.000,27.000,-9.000,-9.000,1.150,,202604091500.000
20260409,20260409 09:00,20260409 21:00,232,2,-9.000,5.500,9.500,11.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,81.000,2.000,-9.000,995.400,-1.100,1005.500,6.500,11.150,-4.400,5.700,-9.000,5.700,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,11.500,7.950,-99.000,-99.000,-99.000,-99.000,11.550,2144.000,-9.000,9.000,-9.000,-9.000,1.650,,202604091500.000
20260409,20260409 09:00,20260409 21:00,235,2,-9.000,10.000,10.000,1.000,-9.000,-9.000,-9.000,957.000,7.000,1.000,83.000,1.000,-9.000,1002.900,0.150,1004.100,4.000,12.100,0.100,7.950,-9.000,7.950,-9.000,-9.000,-9.000,-4.430,-4.500,-9.000,-9.000,12.500,9.450,-99.000,-99.000,-99.000,-99.000,12.000,509.500,-9.000,13.500,-9.000,-9.000,4.600,,202604091500.000
20260409,20260409 09:00,20260409 21:00,236,2,-9.000,6.500,9.500,3.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,82.500,2.000,-9.000,1003.800,-0.350,1005.400,4.000,12.050,-3.950,9.200,-9.000,9.200,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,12.000,8.800,-99.000,-99.000,-99.000,-99.000,11.400,1605.500,-9.000,21.500,-9.000,-9.000,1.450,,202604091500.000
20260409,20260409 09:00,20260409 21:00,238,2,-9.000,6.000,10.000,9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,80.500,2.000,-9.000,984.350,-1.400,1004.500,6.500,11.400,-4.450,7.900,-9.000,7.900,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,11.750,8.100,-99.000,-99.000,-99.000,-99.000,11.450,2879.500,-9.000,0.000,-9.000,-9.000,0.350,,202604091500.000
20260409,20260409 09:00,20260409 21:00,239,2,-9.000,4.000,9.500,6.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,76.500,2.000,-9.000,994.150,-0.750,1004.850,6.000,10.150,-4.100,5.400,-9.000,5.400,-9.000,-9.000,-9.000,-4.355,-4.500,-9.000,-9.000,10.900,6.250,-99.000,-99.000,-99.000,-99.000,10.600,2103.000,-9.000,6.500,-9.000,-9.000,0.700,,202604091500.000
20260409,20260409 09:00,20260409 21:00,243,2,-9.000,8.500,10.000,5.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,89.000,1.000,-9.000,1003.050,-0.200,1004.500,5.000,14.050,0.400,15.950,-9.000,15.950,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,13.550,11.700,-99.000,-99.000,-99.000,-99.000,12.200,2502.000,-9.000,12.500,-9.000,-9.000,1.800,,202604091500.000
20260409,20260409 09:00,20260409 21:00,244,2,-9.000,9.500,9.500,5.500,-9.000,-9.000,-9.000,750.500,8.000,1.500,93.500,1.000,-9.000,975.650,-1.150,1004.700,5.000,13.800,0.200,5.750,-9.000,5.750,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,12.550,11.500,-99.000,-99.000,-99.000,-99.000,12.250,2113.000,-9.000,23.000,-9.000,-9.000,2.050,,202604091500.000
20260409,20260409 09:00,20260409 21:00,245,2,-9.000,9.500,9.500,5.500,-9.000,-9.000,-9.000,773.000,5.500,2.500,85.000,1.000,-9.000,996.250,-0.400,1004.350,5.000,14.500,0.150,5.500,-9.000,5.500,-9.000,-9.000,-9.000,-4.470,-4.500,-9.000,-9.000,14.850,12.250,-99.000,-99.000,-99.000,-99.000,13.050,2600.500,-9.000,14.500,-9.000,-9.000,2.850,,202604091500.000
