tm,stnId,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202604090900,159,23,5.1,-9,-9.0,-9,1005.4,1013.7,7,-1.0,13.9,12.6,92.0,14.6,-9.0,1.2,1.2,-9.0,-9.0,-9.0,-9.0,2,62,-,10,9,2,ScAs,-9,2,5,1265,0.0,0.16,-9,13.8,12.7,12.3,12.3,12.7,2,0.5,3,3,1
202604090900,162,11,1.0,-9,-9.0,-9,1008.6,1012.4,7,-1.9,11.9,11.2,96.0,13.3,0.3,4.3,4.3,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,9,3,-,-9,-9,-9,390,0.0,0.10,-9,13.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202604090900,165,14,7.1,16,14.0,829,1003.0,1008.3,7,-2.8,13.3,12.5,95.0,14.5,0.0,4.1,4.1,-9.0,-9.0,-9.0,-9.0,61,66,01,10,9,4,StNs,-9,2,7,2376,0.0,0.30,-9,13.5,12.0,12.1,12.3,12.6,3,1.0,4,1,1
202604090900,168,9,3.7,-9,-9.0,-9,1004.0,1011.9,7,-2.6,10.9,10.1,95.0,12.4,0.9,7.4,7.4,-9.0,-9.0,-9.0,-9.0,61,66,1901,10,7,1,StNs,-9,2,7,769,0.0,0.13,-9,11.3,12.2,12.7,13.4,13.6,2,0.5,3,1,1
202604090900,169,16,16.6,16,25.0,815,997.5,1006.4,5,-2.5,13.3,12.9,98.0,14.9,6.3,15.0,15.0,-9.0,-9.0,-9.0,-9.0,92,96,1901,10,8,7,StNs,-9,2,7,126,0.0,0.06,-9,13.2,-99.0,-99.0,-99.0,-99.0,4,1.5,7,1,1
202604090900,170,14,4.4,-9,-9.0,-9,1005.7,1009.9,7,-2.8,13.0,12.3,96.0,14.3,1.3,12.9,12.9,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,1,-,-9,-9,-9,374,0.0,0.11,-9,12.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202604090900,172,14,3.1,11,10.0,716,1002.5,1008.8,5,-1.8,12.9,9.7,81.0,12.0,0.0,0.8,0.8,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,10,6,-,-9,-9,-9,5000,0.0,0.10,-9,10.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202604090900,174,11,1.9,-9,-9.0,-9,990.0,1009.8,7,-3.1,9.5,9.1,98.0,11.6,0.5,3.2,3.2,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,10,1,-,-9,-9,-9,425,0.0,-9.00,-9,10.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202604090900,177,0,0.3,-9,-9.0,-9,1007.3,1010.7,5,-1.4,9.4,5.5,77.0,9.0,0.0,0.1,0.1,-9.0,-9.0,-9.0,-9.0,60,62,1901,10,6,12,ScAs,-9,2,5,985,0.0,0.12,-9,9.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,1
202604090900,184,5,1.0,7,10.0,713,1005.6,1008.0,5,-4.0,16.8,13.7,82.0,15.7,0.2,21.0,21.0,-9.0,-9.0,-9.0,-9.0,91,98,0401,10,9,3,CbStNs,-9,2,9,4899,0.0,0.13,-9,15.3,14.3,14.9,14.6,15.3,2,0.5,1,1,1
202604090900,185,11,10.2,14,20.0,704,999.9,1008.3,5,-2.5,16.1,15.9,99.0,18.1,0.9,24.2,24.2,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,3,2,-,-9,-9,-9,676,0.0,0.21,-9,15.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202604090900,188,16,8.7,14,14.0,749,1008.0,1010.4,8,-3.1,16.6,15.7,95.0,17.8,0.7,29.6,29.6,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,6,2,-,-9,-9,-9,774,0.0,-9.00,-9,16.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202604090900,189,5,1.1,-9,-9.0,-9,1005.5,1011.6,5,-1.3,17.0,15.8,93.0,17.9,0.2,27.1,27.1,-9.0,-9.0,-9.0,-9.0,61,98,1901,10,9,4,StNs,-9,2,7,770,0.0,0.03,-9,15.7,-99.0,-99.0,-99.0,-99.0,3,1.0,1,1,1
202604090900,192,2,0.7,-9,-9.0,-9,1009.9,1013.5,7,-1.5,8.4,7.6,95.0,10.4,0.3,3.8,3.8,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,10,-9,-,-9,-9,-9,768,0.0,0.14,-9,11.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202604090900,201,9,1.5,-9,-9.0,-9,1006.6,1012.4,8,-1.2,9.8,4.3,69.0,8.3,0.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,2,18,-,-9,-9,-9,2768,0.0,-9.00,-9,9.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,1,-9
202604090900,202,0,0.4,-9,-9.0,-9,1007.1,1012.9,8,-1.0,8.2,1.3,62.0,6.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,9,24,-,-9,-9,-9,2007,0.0,-9.00,-9,9.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
